Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Albania,Potatoes,1990,66667,1485,121,16.37
Albania,Potatoes,1991,77818,1485,121,15.36
Albania,Potatoes,1992,82920,1485,121,16.06
Albania,Potatoes,1993,98446,1485,121,16.05
Albania,Potatoes,1994,81404,1485,201,16.96
Albania,Potatoes,1995,111323,1485,251,15.67
Albania,Potatoes,1996,106138,1485,313.96,15.64
Albania,Potatoes,1997,109874,1485,376.93,15.9
Albania,Potatoes,1998,127212,1485,439.89,16.27
Albania,Potatoes,1999,142018,1485,502.86,16.57
Albania,Potatoes,2000,141228,1485,565.82,16.67
Albania,Potatoes,2001,148818,1485,628.79,16.59
Albania,Potatoes,2002,153868,1485,691.75,16.47
Albania,Potatoes,2004,149346,1485,817.68,16.16
Albania,Potatoes,2005,167061,1485,880.64,15.67
Albania,Potatoes,2006,170745,1485,943.61,15.92
Albania,Potatoes,2007,188902,1485,1006.57,16.67
Albania,Potatoes,2008,193878,1485,1069.54,16.71
Albania,Potatoes,2009,219780,1485,1132.5,16.73
Albania,Potatoes,2010,231111,1485,1311.17,16.52
Albania,Potatoes,2011,242211,1485,1302.63,16.45
Albania,Potatoes,2012,250538,1485,766.25,16.7
Albania,Potatoes,2013,260110,1485,982.32,17.41
Algeria,Potatoes,1990,78936,89,1828.92,17.48
Algeria,Potatoes,1991,90747,89,2461.8,16.26
Algeria,Potatoes,1992,107917,89,1215.47,16.27
Algeria,Potatoes,1993,111215,89,1021.89,17
Algeria,Potatoes,1994,95078,89,1255.02,17.88
Algeria,Potatoes,1995,136768,89,2697.09,17.36
Algeria,Potatoes,1996,134629,89,479.77,16.76
Algeria,Potatoes,1997,141042,89,401.22,17.84
Algeria,Potatoes,1998,160256,89,322.84,17.14
Algeria,Potatoes,1999,153532,89,654.45,17.97
Algeria,Potatoes,2000,166143,89,603.67,17.9
Algeria,Potatoes,2001,147018,89,710.11,18.13
Algeria,Potatoes,2002,183774,89,816.55,17.85
Algeria,Potatoes,2004,203585,89,3747.86,17.38
Algeria,Potatoes,2005,216267,89,3662.87,17.19
Algeria,Potatoes,2006,220689,89,4110.72,18.13
Algeria,Potatoes,2007,189927,89,5390.79,17.42
Algeria,Potatoes,2008,236393,89,11556.12,17.55
Algeria,Potatoes,2009,250764,89,3867.99,17.78
Algeria,Potatoes,2010,270526,89,1295.88,17.59
Algeria,Potatoes,2011,292806,89,13861.76,17.79
Algeria,Potatoes,2012,304291,89,17379.76,17.91
Algeria,Potatoes,2013,303218,89,17278.65,17.65
Angola,Potatoes,1990,40000,1010,64,24.12
Angola,Potatoes,1991,40000,1010,79,24.02
Angola,Potatoes,1992,40000,1010,23,23.96
Angola,Potatoes,1993,70000,1010,169,24.15
